sic,tlabel,stmt,num_companies,total_value,avg_value
4911,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,30,63157666077796.00,3456905641.92
4911,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,26,48636153312000.00,3149805926.56
4931,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,23,40956429748548.00,3738947393.51
4931,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,23,37943416254000.00,3599944616.13
4841,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,11,32388061952000.00,5515678125.34
4841,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,12,27875262538000.00,5181275564.68
4813,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,11,24448273258604.00,6161359188.16
4813,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,13,19705619201954.00,3502598507.28
4922,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,18805160748000.00,4943522804.42
4922,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,14038853256000.00,4546260769.43
4931,"Equity, Attributable to Parent",EQ,11,13864356461288.00,3304971742.86
4911,"Equity, Attributable to Parent",EQ,21,11518174464818.00,1270200095.37
4931,Stockholders' Equity Attributable to Parent,EQ,11,11138187945300.00,3059101330.76
4911,Stockholders' Equity Attributable to Parent,EQ,20,10827090574112.00,1337999329.48
4610,"Partners' Capital, Including Portion Attributable to Noncontrolling Interest",EQ,7,10046837992000.00,3296206690.29
4922,"Partners' Capital, Including Portion Attributable to Noncontrolling Interest",EQ,8,9612092818000.00,2753392385.56
4833,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,8838168276000.00,2662098878.31
4812,"Equity, Attributable to Parent",EQ,5,8569300723388.00,5137470457.67
4932,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,4,7993134156000.00,2934337061.67
4833,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,8,7971774160000.00,2974542597.01
4911,Equity,EQ,10,7631319572000.00,1663321615.52
4812,Stockholders' Equity Attributable to Parent,EQ,5,7164713658690.00,4944591896.96
4932,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,6,7057382025892.00,2227708972.82
4512,"Equity, Attributable to Parent",EQ,15,6367230163816.00,986402813.91
4011,"Equity, Attributable to Parent",EQ,4,4511991316852.00,3312768955.10
4011,Stockholders' Equity Attributable to Parent,EQ,4,4478439857220.00,4216986682.88
4512,Stockholders' Equity Attributable to Parent,EQ,15,4037487187068.00,680169674.37
4400,Equity,EQ,4,3931689236000.00,1238717465.66
4953,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,6,3717079156322.00,1177781735.21
4953,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,6,3369664710330.00,1177381100.74
4400,Stockholders' Equity Attributable to Parent,EQ,11,3193221576160.00,1290712035.63
4813,Stockholders' Equity Attributable to Parent,EQ,18,3162520553888.00,434770491.32
4911,"Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,4,2915010891992.00,1940752924.10
4911,Members' Equity,EQ,3,2661549080000.00,1595652925.66
4011,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,2629457722000.00,2974499685.52
4813,"Equity, Attributable to Parent",EQ,16,2577273689392.00,598808942.70
4941,"Equity, Attributable to Parent",EQ,9,2450479172000.00,718615592.96
4213,"Equity, Attributable to Parent",EQ,12,2380148246000.00,537037059.12
4899,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,9,2306958358088.00,648022010.70
4011,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,2098717600000.00,2972687818.70
4841,"Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,2029232844000.00,23059464136.36
4924,"Equity, Attributable to Parent",EQ,5,1874823660000.00,688261255.51
4923,"Equity, Attributable to Parent",EQ,5,1810162682528.00,1037937317.96
4922,Members' Equity,EQ,2,1705740180000.00,2707524095.24
4400,"Equity, Attributable to Parent",EQ,10,1676221948664.00,685291066.50
4941,Stockholders' Equity Attributable to Parent,EQ,9,1634447683454.00,603117226.37
4213,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,1624542694000.00,1735622536.32
4400,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,9,1604245116026.00,609052815.50
4213,Stockholders' Equity Attributable to Parent,EQ,13,1485572124000.00,400855942.80
4700,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,10,1408466090606.00,544861156.91
4924,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,5,1370771990338.00,578384806.05
4922,Partners' Capital,EQ,4,1330655314000.00,1850702801.11
4513,Stockholders' Equity Attributable to Parent,EQ,2,1189840814000.00,2179195630.04
4924,Stockholders' Equity Attributable to Parent,EQ,6,1161416350000.00,645949026.70
4412,Equity,EQ,9,1158770648552.00,474517055.10
4700,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,5,1144173271000.00,465489532.55
4213,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,4,1128473334000.00,834669625.74
4911,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,29,996430174755.00,234068633.96
4923,Stockholders' Equity Attributable to Parent,EQ,5,958953918086.00,625949032.69
4924,Members' Equity,EQ,2,940408000000.00,1655647887.32
4400,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,8,884746913252.00,468120059.92
4924,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,880326618000.00,372388586.29
4412,Stockholders' Equity Attributable to Parent,EQ,22,864867290908.00,212185301.99
4833,"Equity, Attributable to Parent",EQ,5,857417275566.00,413412379.73
4700,Stockholders' Equity Attributable to Parent,EQ,26,856058339576.00,94321103.96
4922,"Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,842200400000.00,1480141300.53
4412,"Equity, Attributable to Parent",EQ,23,820719345384.00,235771142.02
4610,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,3,795559924000.00,1014744801.02
4812,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,3,795469350716.00,938053479.62
4812,Equity,EQ,5,784307222884.00,629460050.47
4841,"Equity, Attributable to Parent",EQ,7,758236621540.00,391246966.74
4412,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,12,747438927866.00,300055771.93
4731,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,9,708887761461.00,242520616.31
4700,"Equity, Attributable to Parent",EQ,23,706026956488.00,124695682.88
4832,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,7,671488186964.00,345060733.28
4731,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,6,666712321152.00,304157080.82
4841,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,8,656285978000.00,808233963.05
4911,"Dividends, Common Stock, Cash",EQ,17,650569449000.00,231272466.76
4923,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,2,648976592000.00,652893955.73
4412,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,12,611362892746.00,248319615.25
4899,"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",EQ,9,604428305078.00,200141822.87
4911,"Net Loss January 31,2023",EQ,23,582132769466.00,241950444.50
4833,Stockholders' Equity Attributable to Parent,EQ,6,571473538124.00,292763083.06
4841,"Stock Repurchased and Retired During Period, Value",EQ,3,553924600000.00,1614940524.78
4813,Net Income (Loss) Attributable to Parent,EQ,22,551720186139.00,283660764.08
4931,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,11,499135979000.00,234336140.38
4610,Partners' Capital,EQ,5,480491268000.00,299185098.38
4011,Net Income (Loss) Attributable to Parent,EQ,4,462364091157.00,1138827810.73
4011,"Comprehensive Income (Loss), Net of Tax, Attributable to Parent",EQ,3,460703000000.00,1505565359.48
4841,Stockholders' Equity Attributable to Parent,EQ,5,452167638860.00,172057701.24
4911,Revenues,EQ,2,447416000000.00,411985267.03
4922,"Equity, Attributable to Parent",EQ,5,432846958000.00,317569301.54
4922,Stockholders' Equity Attributable to Parent,EQ,5,404445438472.00,419549210.03
4922,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,11,399255642000.00,343889441.86
4931,Net Income (Loss) Attributable to Parent,EQ,19,391882342204.00,183982320.28
4911,"Dividends, Common Stock",EQ,15,386827118192.00,230528675.92
4841,"Net Loss January 31,2023",EQ,6,378693902000.00,872566594.47
4700,"Treasury Stock, Value, Acquired, Cost Method",EQ,7,378004228368.00,1636381940.99
4922,"Partners' Capital Account, Distributions",EQ,10,376151428000.00,255190928.09
4931,"Dividends, Common Stock, Cash",EQ,16,369298126000.00,162973577.23
4955,"Equity, Including Portion Attributable to Noncontrolling Interest",EQ,5,366115770172.00,200282149.98
