name,stmt,tag,plabel,total_value,cnt
PRICE T ROWE GROUP INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net revenues,36950713800000.00,198
AMAZON COM INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total net sales,15947450000000.00,184
WALMART INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,12855087000000.00,276
BERKSHIRE HATHAWAY INC,IS,Revenues,Total revenues,12204940000000.00,257
UNITEDHEALTH GROUP INC,IS,Revenues,Total revenues,12152193000000.00,315
CHEVRON CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other operating revenues,11998426000000.00,346
APPLE INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,11677336000000.00,165
ALPHABET INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,9302481000000.00,182
ARCHER-DANIELS-MIDLAND CO,IS,Revenues,Revenues,8664756000000.00,815
CVS HEALTH CORP,IS,Revenues,Total revenues,8327609000000.00,201
"ELEVANCE HEALTH, INC.",IS,OperatingRevenue,Total operating revenue,8008866000000.00,380
AT&T INC.,IS,Revenues,Total operating revenues,7972910000000.00,820
MICROSOFT CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,7575245000000.00,237
VERIZON COMMUNICATIONS INC,IS,Revenues,Operating Revenues,7523410000000.00,391
GENERAL MOTORS CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Automotive,7025480000000.00,351
AMAZON COM INC,IS,CostsAndExpenses,Total operating expenses,6874974000000.00,52
CARDINAL HEALTH INC,IS,Revenues,Revenue,6555179000000.00,143
WALMART INC.,IS,Revenues,Total revenues,5972370000000.00,19
BUENAVENTURA MINING CO INC,IS,ProfitLoss,Profit (loss),5821367926000.00,210
EXXON MOBIL CORP,IS,Revenues,Total,5798149000000.00,170
UNITEDHEALTH GROUP INC,IS,PremiumsEarnedNet,Premiums,5736406000000.00,117
MARATHON PETROLEUM CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other operating revenues,5696955000000.00,195
LOCKHEED MARTIN CORP,IS,Revenues,Total net sales,5495430000000.00,975
WALT DISNEY CO,IS,Revenues,Revenues,5361755000000.00,613
SHELL PLC,IS,Revenue,Revenue,5319756000000.00,127
PHILLIPS 66,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other operating revenues,5303693000000.00,260
FORD MOTOR CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,5082785000000.00,340
EXXON MOBIL CORP,IS,Revenues,Total revenues,5012279000000.00,72
"HOME DEPOT, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,4873277000000.00,146
VALERO ENERGY CORP/TX,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,4771726000000.00,278
DELL TECHNOLOGIES INC.,IS,Revenues,Total net revenue,4647946000000.00,317
HUMANA INC,IS,PremiumsEarnedNet,Premiums,4370366000000.00,364
JOHNSON & JOHNSON,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales to customers,4368001000000.00,1488
"WALGREENS BOOTS ALLIANCE, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,4277050000000.00,148
CATERPILLAR INC,IS,Revenues,Total sales and revenues,4171250000000.00,691
COMCAST CORP,IS,Revenues,Revenue,4022830000000.00,451
BERKSHIRE HATHAWAY INC,IS,CostsAndExpenses,Total costs and expenses,3959903000000.00,42
MCKESSON CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,3855275000000.00,67
"MERCK & CO., INC.",IS,Revenues,Sales,3502631000000.00,1461
CVS HEALTH CORP,IS,CostsAndExpenses,Total operating costs,3441166000000.00,27
"AMERICAN INTERNATIONAL GROUP, INC.",IS,PremiumsEarnedNet,Premiums,3413068000000.00,42
"ELEVANCE HEALTH, INC.",IS,PremiumsEarnedNet,Premiums,3391110000000.00,146
"HANRYU HOLDINGS, INC.",IS,GainOrLossOnSaleOfStockInSubsidiary,"Gain on disposal of subsidiary, net",3390329780646.00,3
FORD MOTOR CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues (Note 4),3234841000000.00,99
